dataset,baseline_run,baseline_label,run,label,n,r_l1_mean,r_l1_p95,r_psnr_mean,r_psnr_p95,l_l1_mean,l_l1_p95,r_mean_delta_mean,r_mean_delta_p95,r_tv_to_input_delta_mean,r_tv_to_input_delta_p95,l_corr_delta_mean,l_corr_delta_p95
BDDnight,BDDnight_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260715-233953,r1-a2-sm0v1,BDDnight_0.3r_0.05anchorv2_0.05bdsp_0.1smv1_20260716-102043,r0.3-a2-sm0.1v1,250,0.07150327609479427,0.10188203155994412,21.988276750531362,25.53748877110305,0.01492245270870626,0.019375775195658203,0.058880709528923034,0.08424985259771345,1.6730046126411686,3.277959697307907,-0.0037478972577258823,0.0008330523117912534
BDDnight,BDDnight_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260715-233953,r1-a2-sm0v1,BDDnight_0.3r_0.05anchorv2_0.05bdsp_0.5smv1_20260716-123043,r0.3-a2-sm0.5v1,250,0.109178207218647,0.16365184709429742,17.943914464726085,22.357439034982526,0.019177348360419275,0.023762312904000275,0.08762576401233674,0.13692500144243236,18.918486712054463,44.644970151018846,-0.0065618400928694745,-0.0012006967873794364
BDDnight,BDDnight_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260715-233953,r1-a2-sm0v1,BDDnight_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260715-233953,r1-a2-sm0v1,250,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDDnight,BDDnight_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260715-233953,r1-a2-sm0v1,BDDnight_1.0r_0.05anchorv2_0.05bdsp_0.1smv1_20260716-060543,r1-a2-sm0.1v1,250,0.011606849208474159,0.019218428060412403,36.24715938321476,39.47362722182687,0.002947634634561837,0.005213671014644205,-0.010261456847190858,-0.006360059976577761,0.21602130768339836,0.4277432176378789,-0.0021861055534810347,-0.0005605194179319655
BDDnight,BDDnight_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260715-233953,r1-a2-sm0v1,BDDnight_1.0r_0.05anchorv2_0.05bdsp_0.5smv1_20260716-081309,r1-a2-sm0.5v1,250,0.027233543179929258,0.03584758825600147,28.682973455190705,30.85467012389641,0.008170438685454428,0.014776324806734912,-0.01444444990158081,0.006489673256874072,0.5903204000713973,0.8685061700730861,-0.010198466228258336,-0.004700770996583705
LOLv2,LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260714-060043,r1-a2-sm0v1,LOLv2_0.3r_0.05anchorv2_0.05bdsp_0.1smv1_20260714-223238,r0.3-a2-sm0.1v1,100,0.10578221090137958,0.1364445149898529,18.06941759604152,19.954213216000316,0.018001068131998182,0.026364701706916092,0.07839499890804291,0.10330880880355833,0.5283696354631611,1.277859614548286,-0.001848582494013099,0.014748450000482086
LOLv2,LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260714-060043,r1-a2-sm0v1,LOLv2_0.3r_0.05anchorv2_0.05bdsp_0.5smv1_20260715-015134,r0.3-a2-sm0.5v1,100,0.10486274518072605,0.1348242625594139,18.112263987743997,19.886342204819904,0.01753045785240829,0.027301638200879098,0.07970484644174576,0.10071171224117278,0.6953288255753562,1.290467471844342,-0.021200415943021293,-0.0020087753586787945
LOLv2,LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260714-060043,r1-a2-sm0v1,LOLv2_1.0r_0.05anchorv1_0.05bdsp_0.0smv1_20260714-024244,r1-a1-sm0v1,100,0.006008583751972765,0.008331522531807422,41.94142684718999,44.50167207203898,0.0004918895513401367,0.0009993889078032225,-0.001466759145259857,0.002083975076675414,-0.027348113866437408,0.10085481120122214,-0.0002574283737052252,0.0010010947823151871
LOLv2,LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260714-060043,r1-a2-sm0v1,LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260714-060043,r1-a2-sm0v1,100,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOLv2,LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260714-060043,r1-a2-sm0v1,LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.1smv1_20260714-155441,r1-a2-sm0.1v1,100,0.010224095676094294,0.014364045625552532,37.5753631638859,40.445673912993236,0.0011864473958848975,0.002454849076457321,0.0034338614344596864,0.010049112141132355,-0.0003906725738058192,0.2070132319807208,-0.0040408913449948404,-0.0005010041967573226
LOLv2,LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260714-060043,r1-a2-sm0v1,LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.1smv2_20260717-200532,r1-a2-sm0.1v2,100,0.007419623131863773,0.009541170252487062,39.95954052058212,42.16958358943165,0.0008766978792846203,0.0016485904867295175,-0.00011401563882827759,0.003615421056747436,-0.03851562062887445,0.09032680376394861,-0.005948567181050587,-0.001364506754184325
LOLv2,LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260714-060043,r1-a2-sm0v1,LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.1smv3_20260718-094046,r1-a2-sm0.1v3,100,0.007836382151581348,0.009752141637727618,39.5298868548431,41.65286848316003,0.0008703366169356741,0.0015302712912671267,0.0008470508456230164,0.00453500747680664,-0.018403452716917217,0.12439084943957558,-0.004488000431977002,-0.0009511940466495396
LOLv2,LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260714-060043,r1-a2-sm0v1,LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.5smv1_20260714-191342,r1-a2-sm0.5v1,100,0.01924728328362107,0.023810535762459038,31.9977452610849,34.64208124951585,0.002842302522622049,0.004604534432291984,0.006879275143146515,0.013983699679374692,0.20334687169943777,0.4472422809601845,-0.016406260290995137,-0.004221214346425185
LOLv2,LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260714-060043,r1-a2-sm0v1,LOLv2_1.0r_0.05anchorv2_0.0bdsp_0.1smv3_20260718-130429,r1-a2-sm0.1v3,100,0.25909893706440923,0.302316851913929,10.467717341563395,13.287036801067158,0.026718548899516463,0.04016405455768108,0.2534497436881065,0.29630997180938723,-8.388171372555849,-4.682544456254116,0.029740785536460482,0.06473168343107291
